"","idx","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age.x","batch.x","cloneType.x","counts.x","age.y","batch.y","cloneType.y","counts.y","age","batch","cloneType","counts"
"43",43,"D8","Batch 1","Prolif",16,"D9","Batch 2","Small",3,"D10","Batch 1","Prolif",101,"D11","Batch 2","Small",2,"D12","Batch 1","Small",5,"D13","Batch 1","Small",3,NA,NA,NA,NA
"44",44,"D8","Batch 1","Prolif",17,"D9","Batch 3","Small",2,"D10","Batch 2","Prolif",89,"D11","Batch 2","Small",3,"D12","Batch 1","Small",4,"D13","Batch 1","Small",2,NA,NA,NA,NA
"45",45,"D8","Batch 1","Prolif",17,"D9","Batch 3","Small",3,"D10","Batch 2","Prolif",26,"D11","Batch 3","Small",4,"D12","Batch 1","Small",3,"D13","Batch 1","Small",2,NA,NA,NA,NA
"46",46,"D8","Batch 1","Prolif",19,"D9","Batch 3","Small",3,"D10","Batch 2","Prolif",38,"D11","Batch 3","Small",4,"D12","Batch 1","Small",5,"D13","Batch 1","Small",4,NA,NA,NA,NA
"47",47,"D8","Batch 1","Prolif",19,NA,NA,NA,NA,"D10","Batch 2","Prolif",19,"D11","Batch 3","Small",2,"D12","Batch 1","Small",6,"D13","Batch 2","Small",2,NA,NA,NA,NA
"48",48,"D8","Batch 1","Prolif",22,NA,NA,NA,NA,"D10","Batch 2","Prolif",26,"D11","Batch 3","Small",3,"D12","Batch 1","Small",5,"D13","Batch 2","Small",3,NA,NA,NA,NA
"49",49,"D8","Batch 1","Prolif",11,NA,NA,NA,NA,"D10","Batch 2","Prolif",41,"D11","Batch 3","Small",2,"D12","Batch 2","Small",4,"D13","Batch 2","Small",3,NA,NA,NA,NA
"50",50,"D8","Batch 1","Prolif",120,NA,NA,NA,NA,"D10","Batch 2","Prolif",40,"D11","Batch 3","Small",2,"D12","Batch 2","Small",4,"D13","Batch 2","Small",3,NA,NA,NA,NA
"51",51,"D8","Batch 1","Prolif",27,NA,NA,NA,NA,"D10","Batch 2","Prolif",56,NA,NA,NA,NA,"D12","Batch 2","Small",4,"D13","Batch 2","Small",4,NA,NA,NA,NA
"52",52,"D8","Batch 1","Prolif",38,NA,NA,NA,NA,"D10","Batch 2","Prolif",47,NA,NA,NA,NA,"D12","Batch 2","Small",3,"D13","Batch 2","Small",2,NA,NA,NA,NA
"53",53,"D8","Batch 1","Prolif",44,NA,NA,NA,NA,"D10","Batch 2","Prolif",16,NA,NA,NA,NA,"D12","Batch 2","Small",3,"D13","Batch 2","Small",5,NA,NA,NA,NA
"54",54,"D8","Batch 1","Prolif",60,NA,NA,NA,NA,"D10","Batch 2","Prolif",20,NA,NA,NA,NA,"D12","Batch 2","Small",5,"D13","Batch 2","Small",3,NA,NA,NA,NA
"55",55,"D8","Batch 1","Prolif",104,NA,NA,NA,NA,"D10","Batch 2","Prolif",9,NA,NA,NA,NA,"D12","Batch 2","Small",4,"D13","Batch 2","Small",2,NA,NA,NA,NA
"56",56,"D8","Batch 2","Prolif",16,NA,NA,NA,NA,"D10","Batch 2","Prolif",56,NA,NA,NA,NA,"D12","Batch 3","Small",3,"D13","Batch 2","Small",3,NA,NA,NA,NA
"57",57,"D8","Batch 2","Prolif",37,NA,NA,NA,NA,"D10","Batch 2","Prolif",17,NA,NA,NA,NA,"D12","Batch 3","Small",4,"D13","Batch 2","Small",3,NA,NA,NA,NA
"58",58,"D8","Batch 2","Prolif",45,NA,NA,NA,NA,"D10","Batch 2","Prolif",26,NA,NA,NA,NA,"D12","Batch 3","Small",3,"D13","Batch 3","Small",3,NA,NA,NA,NA
"59",59,"D8","Batch 2","Prolif",49,NA,NA,NA,NA,"D10","Batch 2","Prolif",71,NA,NA,NA,NA,"D12","Batch 3","Small",3,"D13","Batch 3","Small",2,NA,NA,NA,NA
"60",60,"D8","Batch 2","Prolif",62,NA,NA,NA,NA,"D10","Batch 2","Prolif",16,NA,NA,NA,NA,"D12","Batch 3","Small",3,"D13","Batch 3","Small",2,NA,NA,NA,NA
"61",61,"D8","Batch 2","Prolif",63,NA,NA,NA,NA,"D10","Batch 2","Prolif",26,NA,NA,NA,NA,"D12","Batch 3","Small",2,"D13","Batch 3","Small",3,NA,NA,NA,NA
"62",62,"D8","Batch 2","Prolif",64,NA,NA,NA,NA,"D10","Batch 2","Prolif",23,NA,NA,NA,NA,NA,NA,NA,NA,"D13","Batch 3","Small",3,NA,NA,NA,NA
"63",63,"D8","Batch 2","Prolif",125,NA,NA,NA,NA,"D10","Batch 2","Prolif",18,NA,NA,NA,NA,NA,NA,NA,NA,"D13","Batch 3","Small",3,NA,NA,NA,NA
"64",64,"D8","Batch 2","Prolif",70,NA,NA,NA,NA,"D10","Batch 2","Prolif",32,NA,NA,NA,NA,NA,NA,NA,NA,"D13","Batch 3","Small",3,NA,NA,NA,NA
"65",65,"D8","Batch 2","Prolif",22,NA,NA,NA,NA,"D10","Batch 3","Prolif",18,NA,NA,NA,NA,NA,NA,NA,NA,"D13","Batch 3","Small",2,NA,NA,NA,NA
"66",66,"D8","Batch 2","Prolif",12,NA,NA,NA,NA,"D10","Batch 3","Prolif",11,NA,NA,NA,NA,NA,NA,NA,NA,"D13","Batch 3","Small",2,NA,NA,NA,NA
"67",67,"D8","Batch 2","Prolif",79,NA,NA,NA,NA,"D10","Batch 3","Prolif",48,NA,NA,NA,NA,NA,NA,NA,NA,"D13","Batch 3","Small",2,NA,NA,NA,NA
"68",68,"D8","Batch 2","Prolif",37,NA,NA,NA,NA,"D10","Batch 3","Prolif",8,NA,NA,NA,NA,NA,NA,NA,NA,"D13","Batch 3","Small",5,NA,NA,NA,NA
"69",69,"D8","Batch 2","Prolif",72,NA,NA,NA,NA,"D10","Batch 3","Prolif",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"D8","Batch 2","Prolif",40,NA,NA,NA,NA,"D10","Batch 3","Prolif",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"D8","Batch 2","Prolif",32,NA,NA,NA,NA,"D10","Batch 3","Prolif",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"D8","Batch 3","Prolif",67,NA,NA,NA,NA,"D10","Batch 3","Prolif",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"D8","Batch 3","Prolif",85,NA,NA,NA,NA,"D10","Batch 3","Prolif",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"D8","Batch 3","Prolif",92,NA,NA,NA,NA,"D10","Batch 3","Prolif",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,"D8","Batch 3","Prolif",110,NA,NA,NA,NA,"D10","Batch 3","Prolif",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"D8","Batch 3","Prolif",129,NA,NA,NA,NA,"D10","Batch 3","Prolif",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
