"","diff","lwr","upr","p adj"
"D9:Batch 2-D13:Batch 1",9.92500000000003,-43.6395484872659,63.489548487266,0.999999998798305
"D8:Batch 4-D12:Batch 1",9.21428571428572,-43.0593610618923,61.4879324904638,0.999999999577462
"D10:Batch 1-D9:Batch 1",-8.00000000000001,-54.9792168013168,38.9792168013168,0.999999999796111
"D8:Batch 4-D10:Batch 2",-7.40476190476189,-50.8990650909933,36.0895412814695,0.999999999797156
"D12:Batch 3-D10:Batch 2",-8.6547619047619,-59.9132897813751,42.6037659718513,0.999999999829746
"D8:Batch 4-D13:Batch 2",9.5,-47.3946569534918,66.3946569534918,0.999999999865584
"D8:Batch 2-D9:Batch 1",-7.43749999999997,-52.4166756667427,37.5416756667427,0.999999999890757
"D9:Batch 2-D12:Batch 1",7.83928571428577,-40.7888235649138,56.4673949934853,0.999999999936424
"D12:Batch 3-D13:Batch 1",10.05,-52.9792333784668,73.0792333784667,0.999999999949711
"D13:Batch 2-D9:Batch 2",-8.12500000000005,-61.689548487266,45.4395484872659,0.999999999982849
"D12:Batch 3-D11:Batch 2",-8.89285714285712,-67.7844220541612,49.9987077684469,0.999999999984447
"D12:Batch 3-D8:Batch 1",-7.44565217391305,-58.3463500012635,43.4550456534373,0.999999999992244
"D8:Batch 4-D11:Batch 2",-7.64285714285711,-59.9165039190352,44.6307896333209,0.999999999992323
"D8:Batch 4-D8:Batch 1",-6.19565217391305,-49.2676705720509,36.8763662242248,0.999999999994656
"D10:Batch 3-D10:Batch 2",-4.59706959706957,-37.7554953039019,28.5613561097628,0.999999999997713
"D12:Batch 2-D9:Batch 2",6.87499999999995,-43.8683537172701,57.6183537172699,0.999999999998711
"D12:Batch 3-D12:Batch 1",7.96428571428572,-50.9272791970183,66.8558506255898,0.999999999998762
"D11:Batch 1-D8:Batch 1",-3.69565217391303,-54.5963500012634,47.2050456534374,1
"D10:Batch 2-D8:Batch 1",1.20910973084884,-27.1497353947643,29.567954856462,1
"D11:Batch 2-D8:Batch 1",1.44720496894406,-39.1114418832787,42.0058518211669,1
"D12:Batch 2-D8:Batch 1",-0.695652173913061,-43.7676705720509,42.3763662242248,1
"D10:Batch 3-D8:Batch 1",-3.38795986622073,-35.9904989481577,29.2145792157162,1
"D11:Batch 3-D8:Batch 1",-2.98136645962732,-43.5400133118501,37.5772803925955,1
"D9:Batch 3-D9:Batch 1",-4.83333333333337,-59.0802602664494,49.4135935997827,1
"D8:Batch 2-D10:Batch 1",0.562500000000036,-35.3184695136292,36.4434695136293,1
"D9:Batch 3-D10:Batch 1",3.16666666666664,-43.8125501346501,50.1458834679834,1
"D9:Batch 2-D11:Batch 1",-3.87499999999998,-61.4125548394063,53.6625548394063,1
"D10:Batch 2-D11:Batch 1",4.90476190476187,-46.3537659718513,56.163289781375,1
"D11:Batch 2-D11:Batch 1",5.14285714285709,-53.748707768447,64.0344220541612,1
"D12:Batch 2-D11:Batch 1",2.99999999999996,-57.6499080964559,63.6499080964558,1
"D10:Batch 3-D11:Batch 1",0.307692307692296,-53.4150974356582,54.0304820510428,1
"D11:Batch 3-D11:Batch 1",0.714285714285701,-58.1772791970184,59.6058506255898,1
"D12:Batch 3-D11:Batch 1",-3.75000000000003,-70.1886455500882,62.6886455500881,1
"D8:Batch 4-D11:Batch 1",-2.50000000000002,-63.1499080964559,58.1499080964558,1
"D13:Batch 1-D12:Batch 1",-2.08571428571426,-57.1021396098783,52.9307110384497,1
"D13:Batch 2-D12:Batch 1",-0.285714285714281,-55.3021396098783,54.7307110384497,1
"D13:Batch 3-D12:Batch 1",-8.28571428571429,-73.1231933246471,56.5517647532185,1
"D13:Batch 2-D13:Batch 1",1.79999999999998,-57.6245311132044,61.2245311132044,1
"D13:Batch 3-D13:Batch 1",-6.20000000000002,-74.8175380693517,62.4175380693517,1
"D9:Batch 3-D8:Batch 2",2.6041666666666,-42.3750090000761,47.5833423334093,1
"D10:Batch 3-D9:Batch 2",4.18269230769228,-38.0383300884515,46.4037147038361,1
"D11:Batch 3-D9:Batch 2",4.58928571428568,-44.0388235649139,53.2173949934853,1
"D12:Batch 3-D9:Batch 2",0.124999999999954,-57.4125548394064,57.6625548394063,1
"D8:Batch 4-D9:Batch 2",1.37499999999996,-49.36835371727,52.11835371727,1
"D11:Batch 2-D10:Batch 2",0.238095238095219,-40.7687270631953,41.2449175393858,1
"D12:Batch 2-D10:Batch 2",-1.90476190476191,-45.3990650909933,41.5895412814695,1
"D11:Batch 3-D10:Batch 2",-4.19047619047617,-45.1972984917667,36.8163461108144,1
"D12:Batch 2-D11:Batch 2",-2.14285714285712,-54.4165039190352,50.1307896333209,1
"D10:Batch 3-D11:Batch 2",-4.83516483516479,-48.8835579157339,39.2132282454043,1
"D11:Batch 3-D11:Batch 2",-4.42857142857139,-54.6514667341432,45.7943238770004,1
"D10:Batch 3-D12:Batch 2",-2.69230769230767,-49.0653156536911,43.6807002690758,1
"D11:Batch 3-D12:Batch 2",-2.28571428571426,-54.5593610618923,49.9879324904638,1
"D12:Batch 3-D12:Batch 2",-6.74999999999999,-67.3999080964558,53.8999080964559,1
"D8:Batch 4-D12:Batch 2",-5.49999999999999,-59.7469269331161,48.7469269331161,1
"D12:Batch 3-D13:Batch 2",8.25,-54.7792333784667,71.2792333784667,1
"D13:Batch 3-D13:Batch 2",-8.00000000000001,-76.6175380693517,60.6175380693517,1
"D11:Batch 3-D10:Batch 3",0.406593406593405,-43.6417996739757,44.4549864871625,1
"D12:Batch 3-D10:Batch 3",-4.05769230769232,-57.7804820510428,49.6650974356581,1
"D8:Batch 4-D10:Batch 3",-2.80769230769232,-49.1807002690758,43.5653156536911,1
"D12:Batch 3-D11:Batch 3",-4.46428571428573,-63.3558506255898,54.4272791970183,1
"D8:Batch 4-D11:Batch 3",-3.21428571428573,-55.4879324904638,49.0593610618923,1
"D8:Batch 4-D12:Batch 3",1.25,-59.3999080964558,61.8999080964559,1
